source,period,year_month,sentence_count,anger_pct,disgust_pct,fear_pct,joy_pct,neutral_pct,sadness_pct,surprise_pct
graham_norton,covid,2023-03,26,3.85,7.69,0.0,7.69,61.54,0.0,19.23
graham_norton,covid,2023-05,14,0.0,7.14,0.0,35.71,28.57,0.0,28.57
qi,control,2016-06,19,0.0,0.0,10.53,5.26,63.16,0.0,21.05
qi,control,2016-07,20,0.0,0.0,5.0,10.0,60.0,5.0,20.0
qi,control,2016-08,18,11.11,0.0,0.0,5.56,61.11,5.56,16.67
qi,control,2016-09,25,0.0,8.0,4.0,4.0,48.0,16.0,20.0
qi,control,2016-10,18,0.0,0.0,0.0,5.56,66.67,5.56,22.22
qi,control,2016-11,17,0.0,5.88,0.0,5.88,41.18,11.76,35.29
qi,control,2016-12,27,3.7,7.41,0.0,3.7,70.37,3.7,11.11
qi,control,2017-01,28,3.57,7.14,3.57,3.57,60.71,3.57,17.86
qi,control,2017-02,27,7.41,0.0,7.41,3.7,59.26,3.7,18.52
qi,control,2017-03,27,3.7,0.0,0.0,11.11,51.85,3.7,29.63
qi,control,2017-04,20,5.0,10.0,10.0,5.0,40.0,10.0,20.0
qi,control,2017-05,29,17.24,6.9,3.45,6.9,55.17,0.0,10.34
qi,control,2017-06,18,11.11,0.0,0.0,16.67,61.11,0.0,11.11
qi,control,2017-07,27,3.7,14.81,3.7,11.11,40.74,3.7,22.22
qi,control,2017-08,18,5.56,11.11,5.56,0.0,66.67,5.56,5.56
qi,control,2017-09,18,11.11,5.56,0.0,5.56,72.22,0.0,5.56
qi,control,2017-10,17,0.0,0.0,0.0,0.0,58.82,0.0,41.18
qi,control,2017-11,27,0.0,14.81,0.0,7.41,55.56,3.7,18.52
qi,control,2017-12,18,5.56,0.0,0.0,0.0,66.67,5.56,22.22
qi,control,2018-01,20,0.0,10.0,0.0,15.0,60.0,5.0,10.0
qi,control,2018-02,18,11.11,11.11,0.0,0.0,66.67,0.0,11.11
qi,control,2018-03,21,0.0,4.76,0.0,4.76,76.19,0.0,14.29
qi,control,2018-04,16,0.0,18.75,6.25,6.25,37.5,6.25,25.0
